"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-1308",5.79050969184312,9.597032008673,13.3133492771406,3.10595015669864e-31,1.72690828712444e-28,60.2527047857285
"ebv-miR-BART7",9.90639298963412,9.26605580019011,12.8841904037806,9.45382216350378e-30,2.62816256145405e-27,56.8799378278469
"hsa-miR-1246",5.31880818723097,8.90803098020912,12.3370494315803,7.10230901037155e-28,1.31629460325553e-25,52.6156134042422
"hsa-miR-494",4.713170132181,13.1506799185513,11.8809421351567,2.50780610039035e-26,3.48585047954259e-24,49.0974344382087
"ebv-miR-BART3",8.78028768977641,8.21274057674905,11.6610742716562,1.37902154758167e-25,1.53347196091082e-23,47.4151762238568
"ebv-miR-BART22",9.40818769458127,8.80005388922814,11.112290818438,9.29575129817026e-24,8.61406286963778e-22,43.2605518497264
"ebv-miR-BART8",8.6747049374971,9.03156513169962,10.6085676560549,4.1670910162289e-22,3.30986086431896e-20,39.5100831277883
"ebv-miR-BART6-3p",7.84579620624388,7.33865348568821,10.3007320159039,4.11858794015025e-21,2.86241861840442e-19,37.2517042218927
"ebv-miR-BART9",6.39159075492754,8.97098218972243,10.0753242507016,2.16625069131444e-20,1.33826153818981e-18,35.615711411372
"ebv-miR-BART19-3p",7.55845866106908,7.06988908982129,9.81968958106148,1.3967421361318e-19,7.51221946702869e-18,33.7796168819558
"hsa-miR-375",-4.04740039995479,1.21873300353992,-6.7882589920598,7.56442692523126e-11,1.68232854817143e-09,14.0406126647238
"hsa-miR-34c-3p",-2.94744867186608,1.00928706391635,-5.92370492870117,9.8616408591458e-09,1.76873300570486e-07,9.29985728126008
"hsa-miR-145",-2.71854378048184,7.64696996869582,-4.29245575778884,2.48997517289084e-05,0.00031464231730166,1.76294473827051
"hsa-miR-34c-5p",-2.96944085310021,3.97182084934221,-3.562041828384,0.000437025968094963,0.0039833842337836,-0.936503447172003
"hsa-miR-216a",-2.40113745232522,3.99978745005703,-3.23929604651994,0.00135303522586335,0.0105955997969017,-1.98441464959114
"hsa-miR-574-3p",-2.17091553071715,2.22420112294677,-3.20187743047659,0.00153398852315997,0.0117401183485011,-2.09999168983639
"kshv-miR-K12-11",-1.23850645683811,0.703339484250951,-3.16825656618595,0.0017154426890895,0.012889001826132,-2.20277956951388
"hsa-miR-199b-5p",-2.57717838981734,4.68761734145247,-3.15285155062781,0.00180504767452795,0.0133814200938339,-2.24954126239071
"hsa-miR-485-3p",-2.42041379058538,2.13978328184791,-2.92930184898297,0.0036965311264107,0.0233553557532313,-2.90423816797703
"hsa-miR-1297",-1.86133096164202,3.01596191209886,-2.67592636212861,0.0079220958492543,0.0411652831045363,-3.59164458799162
